Gene stable ID,UniProtKB/Swiss-Prot ID
ENSMUSG00000036123,G3X939
ENSMUSG00000064294,G3X982
ENSMUSG00000030583,G3X9J0
ENSMUSG00000067851,G3X9K3
ENSMUSG00000019943,G5E829
ENSMUSG00000026219,G5E870
ENSMUSG00000026269,G5E872
ENSMUSG00000069601,G5E8K5
ENSMUSG00000000628,O08528
ENSMUSG00000026509,O08529
ENSMUSG00000040118,O08532
ENSMUSG00000024381,O08539
ENSMUSG00000027879,O08547
ENSMUSG00000006307,O08550
ENSMUSG00000022048,O08553
ENSMUSG00000001964,O08579
ENSMUSG00000024955,O08580
ENSMUSG00000042535,O08582
ENSMUSG00000025134,O08583
ENSMUSG00000013663,O08586
ENSMUSG00000026797,O08599
ENSMUSG00000015337,O08600
ENSMUSG00000028158,O08601
ENSMUSG00000020669,O08641
ENSMUSG00000014426,O08648
ENSMUSG00000036112,O08663
ENSMUSG00000022875,O08677
ENSMUSG00000035547,O08688
ENSMUSG00000021125,O08691
ENSMUSG00000032484,O08692
ENSMUSG00000063727,O08712
ENSMUSG00000018428,O08715
ENSMUSG00000025887,O08736
ENSMUSG00000027997,O08738
ENSMUSG00000005686,O08739
ENSMUSG00000022324,O08746
ENSMUSG00000020664,O08749
ENSMUSG00000024613,O08784
ENSMUSG00000031865,O08788
ENSMUSG00000000282,O08789
ENSMUSG00000003402,O08795
ENSMUSG00000035064,O08796
ENSMUSG00000026315,O08800
ENSMUSG00000025289,O08807
ENSMUSG00000024456,O08808
ENSMUSG00000020929,O08810
ENSMUSG00000030400,O08811
ENSMUSG00000090035,O08832
ENSMUSG00000018199,O08848
ENSMUSG00000070002,O08856
ENSMUSG00000031834,O08908
ENSMUSG00000111826,O08908
ENSMUSG00000022610,O08911
ENSMUSG00000000420,O08912
ENSMUSG00000034171,O08914
ENSMUSG00000024847,O08915
ENSMUSG00000097319,O08915
ENSMUSG00000059714,O08917
ENSMUSG00000063160,O08919
ENSMUSG00000018001,O08967
ENSMUSG00000005968,O08970
ENSMUSG00000028249,O08992
ENSMUSG00000018585,O08997
ENSMUSG00000038633,O09005
ENSMUSG00000017057,O09030
ENSMUSG00000079516,O09037
ENSMUSG00000027287,O09044
ENSMUSG00000030017,O09049
ENSMUSG00000014769,O09061
ENSMUSG00000028800,O09106
ENSMUSG00000018932,O09110
ENSMUSG00000031059,O09111
ENSMUSG00000020570,O09117
ENSMUSG00000030722,O09130
ENSMUSG00000025068,O09131
ENSMUSG00000005142,O09159
ENSMUSG00000072941,O09164
ENSMUSG00000028124,O09172
ENSMUSG00000022244,O09174
ENSMUSG00000019303,O35047
ENSMUSG00000047501,O35054
ENSMUSG00000020821,O35071
ENSMUSG00000017969,O35074
ENSMUSG00000022898,O35075
ENSMUSG00000071369,O35099
ENSMUSG00000029426,O35114
ENSMUSG00000107478,O35126
ENSMUSG00000004263,O35126
ENSMUSG00000004264,O35129
ENSMUSG00000004268,O35130
ENSMUSG00000049553,O35134
ENSMUSG00000031921,O35144
ENSMUSG00000025484,O35153
ENSMUSG00000016028,O35161
ENSMUSG00000020946,O35166
ENSMUSG00000021365,O35177
ENSMUSG00000030103,O35185
ENSMUSG00000028339,O35206
ENSMUSG00000078154,O35207
ENSMUSG00000029394,O35207
ENSMUSG00000001666,O35215
ENSMUSG00000041781,O35218
ENSMUSG00000005625,O35226
ENSMUSG00000032290,O35239
ENSMUSG00000034462,O35245
ENSMUSG00000020792,O35250
ENSMUSG00000005891,O35256
ENSMUSG00000032113,O35280
ENSMUSG00000029169,O35286
ENSMUSG00000094483,O35295
ENSMUSG00000026321,O35305
ENSMUSG00000026946,O35309
ENSMUSG00000030096,O35316
ENSMUSG00000021134,O35326
ENSMUSG00000027782,O35343
ENSMUSG00000021929,O35344
ENSMUSG00000003731,O35345
ENSMUSG00000024942,O35350
ENSMUSG00000025969,O35375
ENSMUSG00000023088,O35379
ENSMUSG00000032249,O35381
ENSMUSG00000029763,O35382
ENSMUSG00000026664,O35386
ENSMUSG00000027944,O35387
ENSMUSG00000055210,O35392
ENSMUSG00000003271,O35400
ENSMUSG00000003363,O35405
ENSMUSG00000026272,O35423
ENSMUSG00000031730,O35435
ENSMUSG00000015474,O35448
ENSMUSG00000033739,O35450
ENSMUSG00000053898,O35459
ENSMUSG00000019428,O35465
ENSMUSG00000027359,O35488
ENSMUSG00000068917,O35491
ENSMUSG00000032316,O35492
ENSMUSG00000020385,O35493
ENSMUSG00000020817,O35551
ENSMUSG00000025510,O35566
ENSMUSG00000026914,O35593
ENSMUSG00000029469,O35594
ENSMUSG00000054693,O35598
ENSMUSG00000022148,O35601
ENSMUSG00000024413,O35604
ENSMUSG00000067336,O35607
ENSMUSG00000028049,O35609
ENSMUSG00000022474,O35621
ENSMUSG00000032757,O35623
ENSMUSG00000010047,O35632
ENSMUSG00000025862,O35638
ENSMUSG00000029484,O35639
ENSMUSG00000021950,O35640
ENSMUSG00000009090,O35643
ENSMUSG00000020471,O35654
ENSMUSG00000007038,O35657
ENSMUSG00000022971,O35664
ENSMUSG00000033174,O35678
ENSMUSG00000045948,O35680
ENSMUSG00000068566,O35682
ENSMUSG00000097829,O35682
ENSMUSG00000016427,O35683
ENSMUSG00000028851,O35685
ENSMUSG00000021468,O35704
ENSMUSG00000036528,O35711
ENSMUSG00000053113,O35718
ENSMUSG00000024325,O35730
ENSMUSG00000007850,O35737
ENSMUSG00000040809,O35744
ENSMUSG00000027193,O35841
ENSMUSG00000030826,O35855
ENSMUSG00000002949,O35857
ENSMUSG00000025917,O35864
ENSMUSG00000020142,O35874
ENSMUSG00000029767,O35887
ENSMUSG00000007050,O35900
ENSMUSG00000024747,O35945
ENSMUSG00000024851,O35954
ENSMUSG00000097096,O35954
ENSMUSG00000031897,O35955
ENSMUSG00000027739,O35963
ENSMUSG00000020150,O35969
ENSMUSG00000037772,O35972
ENSMUSG00000017009,O35988
ENSMUSG00000032264,O54692
ENSMUSG00000004044,O54724
ENSMUSG00000031790,O54732
ENSMUSG00000028757,O54734
ENSMUSG00000052914,O54750
ENSMUSG00000020198,O54774
ENSMUSG00000029119,O54782
ENSMUSG00000034974,O54784
ENSMUSG00000020451,O54785
ENSMUSG00000028974,O54786
ENSMUSG00000029027,O54788
ENSMUSG00000051510,O54790
ENSMUSG00000000296,O54818
ENSMUSG00000001741,O54824
ENSMUSG00000023988,O54825
ENSMUSG00000046707,O54833
ENSMUSG00000039231,O54864
ENSMUSG00000028005,O54865
ENSMUSG00000015217,O54879
ENSMUSG00000020689,O54890
ENSMUSG00000023947,O54910
ENSMUSG00000019854,O54916
ENSMUSG00000038729,O54931
ENSMUSG00000037935,O54941
ENSMUSG00000029131,O54946
ENSMUSG00000067713,O54950
ENSMUSG00000020974,O54956
ENSMUSG00000024844,O54962
ENSMUSG00000052456,O54984
ENSMUSG00000025060,O54988
ENSMUSG00000002732,O54998
ENSMUSG00000028847,O55013
ENSMUSG00000006373,O55022
ENSMUSG00000015085,O55026
ENSMUSG00000030802,O55028
ENSMUSG00000032458,O55029
ENSMUSG00000066877,O55033
ENSMUSG00000025889,O55042
ENSMUSG00000020694,O55047
ENSMUSG00000026723,O55055
ENSMUSG00000026239,O55057
ENSMUSG00000025279,O55070
ENSMUSG00000024423,O55091
ENSMUSG00000020272,O55098
ENSMUSG00000048277,O55101
ENSMUSG00000090247,O55102
ENSMUSG00000024077,O55106
ENSMUSG00000044393,O55111
ENSMUSG00000047562,O55123
ENSMUSG00000034285,O55125
ENSMUSG00000027613,O55135
ENSMUSG00000072949,O55137
ENSMUSG00000060636,O55142
ENSMUSG00000029467,O55143
ENSMUSG00000003435,O55201
ENSMUSG00000030890,O55222
ENSMUSG00000022617,O55229
ENSMUSG00000022193,O55234
ENSMUSG00000028274,O55236
ENSMUSG00000032271,O55239
ENSMUSG00000036078,O55242
ENSMUSG00000020897,O70126
ENSMUSG00000005800,O70138
ENSMUSG00000026480,O70145
ENSMUSG00000078919,O70152
ENSMUSG00000093752,O70152
ENSMUSG00000034902,O70161
ENSMUSG00000026737,O70172
ENSMUSG00000016554,O70194
ENSMUSG00000024397,O70200
ENSMUSG00000017716,O70201
ENSMUSG00000031636,O70209
ENSMUSG00000027546,O70228
ENSMUSG00000061079,O70230
ENSMUSG00000025967,O70251
ENSMUSG00000004070,O70252
ENSMUSG00000004631,O70258
ENSMUSG00000012350,O70273
ENSMUSG00000028788,O70274
ENSMUSG00000003527,O70279
ENSMUSG00000034118,O70281
ENSMUSG00000074886,O70293
ENSMUSG00000022219,O70303
ENSMUSG00000020936,O70310
ENSMUSG00000026643,O70311
ENSMUSG00000019978,O70318
ENSMUSG00000075706,O70325
ENSMUSG00000074934,O70326
ENSMUSG00000038642,O70370
ENSMUSG00000031819,O70378
ENSMUSG00000055044,O70400
ENSMUSG00000001524,O70422
ENSMUSG00000019326,O70423
ENSMUSG00000008136,O70433
ENSMUSG00000060073,O70435
ENSMUSG00000047281,O70456
ENSMUSG00000022102,O70469
ENSMUSG00000026116,O70472
ENSMUSG00000029201,O70475
ENSMUSG00000006705,O70477
ENSMUSG00000017615,O70479
ENSMUSG00000026696,O70480
ENSMUSG00000027272,O70481
ENSMUSG00000036636,O70496
ENSMUSG00000027195,O70503
ENSMUSG00000037369,O70546
ENSMUSG00000004865,O70551
ENSMUSG00000034480,O70566
ENSMUSG00000026417,O70570
ENSMUSG00000019822,O70572
ENSMUSG00000022404,O70579
ENSMUSG00000035299,O70583
ENSMUSG00000071454,O70585
ENSMUSG00000031012,O70589
ENSMUSG00000006412,O70591
ENSMUSG00000041119,O70628
ENSMUSG00000026837,O88207
ENSMUSG00000031954,O88271
ENSMUSG00000049313,O88307
ENSMUSG00000038209,O88310
ENSMUSG00000020581,O88312
ENSMUSG00000021806,O88322
ENSMUSG00000025401,O88329
ENSMUSG00000005103,O88342
ENSMUSG00000060961,O88343
ENSMUSG00000035021,O88379
ENSMUSG00000024580,O88396
ENSMUSG00000025432,O88398
ENSMUSG00000001521,O88413
ENSMUSG00000024899,O88428
ENSMUSG00000027099,O88441
ENSMUSG00000058454,O88455
ENSMUSG00000027012,O88487
ENSMUSG00000002831,O88492
ENSMUSG00000025584,O88502
ENSMUSG00000020661,O88508
ENSMUSG00000040701,O88512
ENSMUSG00000006715,O88513
ENSMUSG00000024976,O88520
ENSMUSG00000004221,O88522
ENSMUSG00000028657,O88531
ENSMUSG00000022201,O88532
ENSMUSG00000020182,O88533
ENSMUSG00000019373,O88543
ENSMUSG00000035297,O88544
ENSMUSG00000019494,O88545
ENSMUSG00000047230,O88552
ENSMUSG00000036023,O88554
ENSMUSG00000024947,O88559
ENSMUSG00000106695,O88559
ENSMUSG00000000142,O88566
ENSMUSG00000004980,O88569
ENSMUSG00000031609,O88574
ENSMUSG00000000326,O88587
ENSMUSG00000098892,O88587
ENSMUSG00000030413,O88593
ENSMUSG00000035086,O88597
ENSMUSG00000021911,O88622
ENSMUSG00000010392,O88630
ENSMUSG00000091512,O88653
ENSMUSG00000031660,O88665
ENSMUSG00000040713,O88668
ENSMUSG00000025357,O88673
ENSMUSG00000002102,O88685
ENSMUSG00000028381,O88693
ENSMUSG00000002660,O88696
ENSMUSG00000030528,O88700
ENSMUSG00000026761,O88708
ENSMUSG00000037373,O88712
ENSMUSG00000026675,O88736
ENSMUSG00000024073,O88738
ENSMUSG00000042870,O88746
ENSMUSG00000038235,O88792
ENSMUSG00000024800,O88796
ENSMUSG00000055371,O88811
ENSMUSG00000038451,O88838
ENSMUSG00000045867,O88843
ENSMUSG00000025950,O88844
ENSMUSG00000047804,O88845
ENSMUSG00000022722,O88848
ENSMUSG00000027428,O88851
ENSMUSG00000066026,O88876
ENSMUSG00000024750,O88878
ENSMUSG00000019979,O88879
ENSMUSG00000032405,O88907
ENSMUSG00000035011,O88939
ENSMUSG00000027162,O88952
ENSMUSG00000052102,O88958
ENSMUSG00000026775,O88967
ENSMUSG00000020432,O88968
ENSMUSG00000020903,O88983
ENSMUSG00000006378,O88986
ENSMUSG00000020841,O89001
ENSMUSG00000021240,O89016
ENSMUSG00000021190,O89017
ENSMUSG00000029369,O89020
ENSMUSG00000030894,O89023
ENSMUSG00000025609,O89050
ENSMUSG00000022108,O89051
ENSMUSG00000030707,O89053
ENSMUSG00000055681,O89079
ENSMUSG00000031167,O89086
ENSMUSG00000001280,O89090
ENSMUSG00000005355,O89094
ENSMUSG00000042351,O89100
ENSMUSG00000027435,O89103
ENSMUSG00000060579,O89106
ENSMUSG00000054342,O89109
ENSMUSG00000026029,O89110
ENSMUSG00000026000,O89112
ENSMUSG00000036052,O89114
ENSMUSG00000024983,O89116
ENSMUSG00000064370,P00158
ENSMUSG00000074207,P00329
ENSMUSG00000021707,P00375
ENSMUSG00000064354,P00405
ENSMUSG00000025630,P00493
ENSMUSG00000026842,P00520
ENSMUSG00000074264,P00687
ENSMUSG00000074268,P00688
ENSMUSG00000096770,P00688
ENSMUSG00000093931,P00688
ENSMUSG00000096569,P00688
ENSMUSG00000064357,P00848
ENSMUSG00000027562,P00920
ENSMUSG00000024164,P01027
ENSMUSG00000073418,P01029
ENSMUSG00000021250,P01101
ENSMUSG00000067149,P01592
ENSMUSG00000095007,P01635
ENSMUSG00000076563,P01642
ENSMUSG00000032011,P01831
ENSMUSG00000076937,P01844
ENSMUSG00000060802,P01887
ENSMUSG00000067235,P01898
ENSMUSG00000073411,P01899
ENSMUSG00000061232,P01901
ENSMUSG00000031502,P02463
ENSMUSG00000002900,P02469
ENSMUSG00000064341,P03888
ENSMUSG00000064360,P03899
ENSMUSG00000065947,P03903
ENSMUSG00000064363,P03911
ENSMUSG00000064367,P03921
ENSMUSG00000064356,P03930
ENSMUSG00000061780,P03953
ENSMUSG00000017697,P03958
ENSMUSG00000020932,P03995
ENSMUSG00000046834,P04104
ENSMUSG00000062515,P04117
ENSMUSG00000025574,P04184
ENSMUSG00000002603,P04202
ENSMUSG00000041607,P04370
ENSMUSG00000001127,P04627
ENSMUSG00000006574,P04919
ENSMUSG00000079037,P04925
ENSMUSG00000017390,P05063
ENSMUSG00000005469,P05132
ENSMUSG00000025190,P05201
ENSMUSG00000031672,P05202
ENSMUSG00000058579,P05208
ENSMUSG00000023004,P05213
ENSMUSG00000067702,P05214
ENSMUSG00000067338,P05214
ENSMUSG00000074115,P05366
ENSMUSG00000027646,P05480
ENSMUSG00000075602,P05533
ENSMUSG00000052684,P05627
ENSMUSG00000023043,P05784
ENSMUSG00000061816,P05977
ENSMUSG00000063229,P06151
ENSMUSG00000000409,P06240
ENSMUSG00000067212,P06339
ENSMUSG00000026874,P06684
ENSMUSG00000032080,P06728
ENSMUSG00000036427,P06745
ENSMUSG00000021477,P06797
ENSMUSG00000026395,P06800
ENSMUSG00000032418,P06801
ENSMUSG00000026365,P06909
ENSMUSG00000001020,P07091
ENSMUSG00000057163,P07146
ENSMUSG00000018593,P07214
ENSMUSG00000061808,P07309
ENSMUSG00000030399,P07310
ENSMUSG00000032231,P07356
ENSMUSG00000061540,P07361
ENSMUSG00000025747,P07607
ENSMUSG00000029368,P07724
ENSMUSG00000030978,P07742
ENSMUSG00000059668,P07744
ENSMUSG00000066366,P07758
ENSMUSG00000021270,P07901
ENSMUSG00000003549,P07903
ENSMUSG00000006589,P08030
ENSMUSG00000026532,P08032
ENSMUSG00000032496,P08071
ENSMUSG00000025150,P08074
ENSMUSG00000003283,P08103
ENSMUSG00000020048,P08113
ENSMUSG00000026043,P08121
ENSMUSG00000031503,P08122
ENSMUSG00000041959,P08207
ENSMUSG00000002985,P08226
ENSMUSG00000022982,P08228
ENSMUSG00000019179,P08249
ENSMUSG00000026405,P08607
ENSMUSG00000044041,P08730
ENSMUSG00000032562,P08752
ENSMUSG00000005198,P08775
ENSMUSG00000069516,P08905
ENSMUSG00000024503,P09036
ENSMUSG00000025809,P09055
ENSMUSG00000025130,P09103
ENSMUSG00000028766,P09242
ENSMUSG00000026234,P09405
ENSMUSG00000062070,P09411
ENSMUSG00000052837,P09450
ENSMUSG00000020681,P09470
ENSMUSG00000024661,P09528
ENSMUSG00000059741,P09542
ENSMUSG00000024621,P09581
ENSMUSG00000006818,P09671
ENSMUSG00000005681,P09813
ENSMUSG00000015790,P09925
ENSMUSG00000014873,P09926
ENSMUSG00000025371,P0C0A3
ENSMUSG00000037894,P0C0S6
ENSMUSG00000071451,P0C7N9
ENSMUSG00000069895,P0C7T6
ENSMUSG00000098789,P0C872
ENSMUSG00000091931,P0C8B4
ENSMUSG00000046691,P0CG14
ENSMUSG00000019505,P0CG49
ENSMUSG00000079018,P0CW02
ENSMUSG00000022584,P0CW03
ENSMUSG00000024659,P10107
ENSMUSG00000037742,P10126
ENSMUSG00000057329,P10417
ENSMUSG00000005397,P10493
ENSMUSG00000028393,P10518
ENSMUSG00000021939,P10605
ENSMUSG00000022884,P10630
ENSMUSG00000018411,P10637
ENSMUSG00000028367,P10639
ENSMUSG00000057933,P10648
ENSMUSG00000058135,P10649
ENSMUSG00000033813,P10711
ENSMUSG00000051439,P10810
ENSMUSG00000038387,P10833
ENSMUSG00000010095,P10852
ENSMUSG00000094338,P10853
ENSMUSG00000095217,P10853
ENSMUSG00000069307,P10853
ENSMUSG00000069268,P10853
ENSMUSG00000069303,P10853
ENSMUSG00000069300,P10853
ENSMUSG00000096210,P10922
ENSMUSG00000029304,P10923
ENSMUSG00000022205,P11031
ENSMUSG00000023132,P11032
ENSMUSG00000022227,P11034
ENSMUSG00000001506,P11087
ENSMUSG00000020649,P11157
ENSMUSG00000031538,P11214
ENSMUSG00000009350,P11247
ENSMUSG00000026193,P11276
ENSMUSG00000063856,P11352
ENSMUSG00000028773,P11404
ENSMUSG00000031447,P11438
ENSMUSG00000019942,P11440
ENSMUSG00000023944,P11499
ENSMUSG00000045103,P11531
ENSMUSG00000026822,P11672
ENSMUSG00000049382,P11679
ENSMUSG00000001128,P11680
ENSMUSG00000000555,P11688
ENSMUSG00000031173,P11725
ENSMUSG00000030102,P11881
ENSMUSG00000003379,P11911
ENSMUSG00000052776,P11928
ENSMUSG00000034875,P11930
ENSMUSG00000068039,P11983
ENSMUSG00000022892,P12023
ENSMUSG00000026542,P12246
ENSMUSG00000025534,P12265
ENSMUSG00000020277,P12382
ENSMUSG00000000088,P12787
ENSMUSG00000039899,P12804
ENSMUSG00000021576,P12815
ENSMUSG00000062647,P12970
ENSMUSG00000025203,P13011
ENSMUSG00000026879,P13020
ENSMUSG00000024669,P13379
ENSMUSG00000022814,P13439
ENSMUSG00000037071,P13516
ENSMUSG00000037405,P13597
ENSMUSG00000027556,P13634
ENSMUSG00000023019,P13707
ENSMUSG00000004099,P13864
ENSMUSG00000001025,P14069
ENSMUSG00000026576,P14094
ENSMUSG00000036905,P14106
ENSMUSG00000046364,P14115
ENSMUSG00000037563,P14131
ENSMUSG00000043716,P14148
ENSMUSG00000020321,P14152
ENSMUSG00000032518,P14206
ENSMUSG00000003814,P14211
ENSMUSG00000028874,P14234
ENSMUSG00000027684,P14404
ENSMUSG00000060550,P14429
ENSMUSG00000036594,P14434
ENSMUSG00000073421,P14483
ENSMUSG00000073079,P14576
ENSMUSG00000112449,P14576
ENSMUSG00000004951,P14602
ENSMUSG00000017221,P14685
ENSMUSG00000024590,P14733
ENSMUSG00000018340,P14824
ENSMUSG00000067274,P14869
ENSMUSG00000052727,P14873
ENSMUSG00000005413,P14901
ENSMUSG00000071076,P15066
ENSMUSG00000110974,P15066
ENSMUSG00000026473,P15105
ENSMUSG00000022226,P15119
ENSMUSG00000005534,P15208
ENSMUSG00000020009,P15261
ENSMUSG00000074743,P15306
ENSMUSG00000018899,P15314
ENSMUSG00000038871,P15327
ENSMUSG00000024128,P15501
ENSMUSG00000040592,P15530
ENSMUSG00000037601,P15532
ENSMUSG00000030921,P15533
ENSMUSG00000028413,P15535
ENSMUSG00000040562,P15626
ENSMUSG00000020167,P15806
ENSMUSG00000036181,P15864
ENSMUSG00000038023,P15920
ENSMUSG00000063903,P15947
ENSMUSG00000039701,P15975
ENSMUSG00000027350,P16014
ENSMUSG00000027559,P16015
ENSMUSG00000068220,P16045
ENSMUSG00000045038,P16054
ENSMUSG00000030246,P16125
ENSMUSG00000014453,P16277
ENSMUSG00000031138,P16294
ENSMUSG00000006782,P16330
ENSMUSG00000023921,P16332
